opt_score            ,test_train_diff      ,fut ,hl ,opt_buy               ,opt_sell                ,best_buy              ,best_sell               ,best_score
0.0435282134254947   ,-0.07499131629412677 ,  1 ,-1 ,9e-05                 ,-0.00019                ,7.000000000000001e-05 ,-0.0001                 ,0.047057086265511694
0.02943033778157327  ,-0.2282887851134864  ,  1 ,0  ,-0.0001               ,-0.0002                 ,7.000000000000001e-05 ,-0.0002                 ,0.038136465058242336
0.03295234865245446  ,-0.45379063778009754 ,  1 ,8  ,6.000000000000001e-05 ,-0.0002                 ,8e-05                 ,-0.00017                ,0.06032915385875046
0.043607902909435704 ,-0.24288846691892402 ,  1 ,16 ,7.000000000000001e-05 ,-0.00014                ,8e-05                 ,-0.00014                ,0.05759772636400443
0.035054952412393654 ,-0.3966723487438341  ,  1 ,24 ,8e-05                 ,-1.9999999999999998e-05 ,8e-05                 ,-0.00011                ,0.05810267827010258
0.041615844656588324 ,-0.32517386642523183 ,  1 ,48 ,8e-05                 ,-3.9999999999999996e-05 ,7.000000000000001e-05 ,-1.9999999999999998e-05 ,0.061668987886014416
0.030934171197744758 ,-0.3839458346832199  ,  3 ,0  ,-5e-05                ,-0.00011                ,7.000000000000001e-05 ,-0.00014                ,0.05021339508651509
0.04072603208903382  ,-0.22399859402596684 ,  3 ,8  ,4.000000000000001e-05 ,-0.00011                ,6.000000000000001e-05 ,-4.9999999999999996e-05 ,0.05248190502685327
0.041054025052829346 ,-0.32627528404340445 ,  3 ,16 ,3.000000000000001e-05 ,-7.999999999999999e-05  ,7.000000000000001e-05 ,-1.9999999999999998e-05 ,0.06093590465140993
0.041911979666061916 ,-0.2137824152800345  ,  3 ,24 ,5.000000000000001e-05 ,-4.9999999999999996e-05 ,7.000000000000001e-05 ,-3.9999999999999996e-05 ,0.05330837223768036
0.040248458987077115 ,-0.24249173967259663 ,  3 ,48 ,3.000000000000001e-05 ,-9.999999999999999e-06  ,7.000000000000001e-05 ,-0.00011                ,0.053132699793506266
0.03597262118080581  ,-0.24906183504649676 ,  5 ,0  ,4.000000000000001e-05 ,-0.00019                ,7.000000000000001e-05 ,-0.00013000000000000002 ,0.04790357296999703
0.024480700664267514 ,-0.5583253369617054  ,  5 ,8  ,3.000000000000001e-05 ,-0.00014                ,6.000000000000001e-05 ,-3.9999999999999996e-05 ,0.055426997998626326
0.04066321673059901  ,-0.2085129436927656  ,  5 ,16 ,6.000000000000001e-05 ,-0.00011                ,6.000000000000001e-05 ,-9.999999999999999e-06  ,0.05137571916882317
0.02560640423478193  ,-0.5536313770912097  ,  5 ,24 ,9.999999999999999e-06 ,-0.00011                ,4.000000000000001e-05 ,-2.9999999999999997e-05 ,0.05736604886767382
0.04166778568761224  ,-0.18300062796594557 ,  5 ,48 ,4.000000000000001e-05 ,-1.9999999999999998e-05 ,7.000000000000001e-05 ,-9.999999999999999e-06  ,0.05100100087454587
0.0452177254466365   ,-0.3967704174645997  , 10 ,0  ,7.000000000000001e-05 ,-0.00019                ,3.000000000000001e-05 ,-0.0001                 ,0.07495939648149287
0.04855510903944451  ,-0.12454209502810627 , 10 ,8  ,5.000000000000001e-05 ,-9e-05                  ,5.000000000000001e-05 ,-4.9999999999999996e-05 ,0.05546252853928294
0.041981406807994955 ,-0.2215681278413263  , 10 ,16 ,4.000000000000001e-05 ,-7.999999999999999e-05  ,7.000000000000001e-05 ,-7e-05                  ,0.05393073987525213
0.04541259134605504  ,-0.169119419470916   , 10 ,24 ,4.000000000000001e-05 ,-5.9999999999999995e-05 ,9.999999999999999e-06 ,-4.9999999999999996e-05 ,0.054655978741418455
0.04311199162968903  ,-0.12279856943869065 , 10 ,48 ,3.000000000000001e-05 ,-2.9999999999999997e-05 ,7.000000000000001e-05 ,-2.9999999999999997e-05 ,0.049147197129058774
0.03592019403498638  ,-0.4866636059953806  , 15 ,0  ,4.000000000000001e-05 ,-0.00014                ,3.000000000000001e-05 ,-7.999999999999999e-05  ,0.06997398675509288
0.0320456251028355   ,-0.38116302398582547 , 15 ,8  ,4.000000000000001e-05 ,-9e-05                  ,6.000000000000001e-05 ,-2.9999999999999997e-05 ,0.051783630172256366
0.03866341122298586  ,-0.29969832547119635 , 15 ,16 ,4.000000000000001e-05 ,-5.9999999999999995e-05 ,6.000000000000001e-05 ,-3.9999999999999996e-05 ,0.0552096512535122
0.04342415651724741  ,-0.21016370432200748 , 15 ,24 ,4.000000000000001e-05 ,-4.9999999999999996e-05 ,6.000000000000001e-05 ,-2.9999999999999997e-05 ,0.054978679448976546
0.029654232654851304 ,-0.4927100150248853  , 15 ,48 ,5.000000000000001e-05 ,-2.9999999999999997e-05 ,6.000000000000001e-05 ,-2.9999999999999997e-05 ,0.05845617601992676
